Date : 2026-06-10 21:11:15
Directory : c:\Users\yungr\Documents\Misc Projects\NoWork
Total : 68 files,  7702 codes, 121 comments, 855 blanks, all 8678 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Svelte             |         30 |      3,691 |          9 |        532 |      4,232 |
| JSON               |          6 |      2,260 |          0 |          3 |      2,263 |
| Rust               |         12 |        869 |         44 |        156 |      1,069 |
| TypeScript         |         13 |        697 |         52 |        127 |        876 |
| PostCSS            |          1 |         83 |          0 |         17 |        100 |
| JavaScript         |          2 |         33 |         11 |          8 |         52 |
| JSON with Comments |          1 |         23 |          5 |          1 |         29 |
| XML                |          1 |         20 |          0 |          1 |         21 |
| Markdown           |          1 |         13 |          0 |          9 |         22 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                       |         68 |      7,702 |        121 |        855 |      8,678 |
| . (Files)                                                                               |          6 |      2,150 |         16 |         20 |      2,186 |
| src                                                                                     |         45 |      4,484 |         61 |        677 |      5,222 |
| src (Files)                                                                             |          2 |         96 |          0 |         18 |        114 |
| src-tauri                                                                               |         16 |      1,048 |         44 |        157 |      1,249 |
| src-tauri (Files)                                                                       |          2 |         42 |          0 |          2 |         44 |
| src-tauri\assets                                                                        |          1 |        105 |          0 |          0 |        105 |
| src-tauri\capabilities                                                                  |          2 |         35 |          0 |          0 |         35 |
| src-tauri\src                                                                           |         11 |        866 |         44 |        155 |      1,065 |
| src-tauri\src (Files)                                                                   |          2 |         50 |          3 |          6 |         59 |
| src-tauri\src\calendar                                                                  |          3 |        302 |         20 |         61 |        383 |
| src-tauri\src\commands                                                                  |          6 |        514 |         21 |         88 |        623 |
| src\lib                                                                                 |         36 |      3,377 |         50 |        524 |      3,951 |
| src\lib (Files)                                                                         |         24 |      2,547 |          0 |        363 |      2,910 |
| src\lib\cal                                                                             |          3 |        131 |          5 |         25 |        161 |
| src\lib\misc                                                                            |          4 |        311 |          9 |         62 |        382 |
| src\lib\shaders                                                                         |          1 |        247 |         26 |         53 |        326 |
| src\lib\types                                                                           |          4 |        141 |         10 |         21 |        172 |
| src\routes                                                                              |          7 |      1,011 |         11 |        135 |      1,157 |
| src\routes (Files)                                                                      |          3 |        254 |          5 |         43 |        302 |
| src\routes\info                                                                         |          1 |         40 |          0 |          3 |         43 |
| src\routes\settings                                                                     |          1 |        242 |          1 |         32 |        275 |
| src\routes\study                                                                        |          1 |        140 |          2 |         13 |        155 |
| src\routes\tasklist                                                                     |          1 |        335 |          3 |         44 |        382 |
| static                                                                                  |          1 |         20 |          0 |          1 |         21 |
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\yungr\Documents\Misc Projects\NoWork\README.md                                 | Markdown           |         13 |          0 |          9 |         22 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\package-lock.json                         | JSON               |      2,042 |          0 |          1 |      2,043 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\package.json                              | JSON               |         39 |          0 |          1 |         40 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\assets\greeting.json            | JSON               |        105 |          0 |          0 |        105 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\build.rs                        | Rust               |          3 |          0 |          1 |          4 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\capabilities\default.json       | JSON               |         21 |          0 |          0 |         21 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\capabilities\desktop.json       | JSON               |         14 |          0 |          0 |         14 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\calendar\authtest.rs        | Rust               |        275 |         20 |         57 |        352 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\calendar\cal_credentials.rs | Rust               |         25 |          0 |          4 |         29 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\calendar\mod.rs             | Rust               |          2 |          0 |          0 |          2 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\commands\database.rs        | Rust               |         60 |          1 |         10 |         71 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\commands\greet.rs           | Rust               |         40 |          1 |         10 |         51 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\commands\mod.rs             | Rust               |          5 |          0 |          1 |          6 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\commands\tags.rs            | Rust               |         88 |          6 |         17 |        111 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\commands\tasks.rs           | Rust               |        296 |         13 |         46 |        355 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\commands\types.rs           | Rust               |         25 |          0 |          4 |         29 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\lib.rs                      | Rust               |         46 |          2 |          4 |         52 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\main.rs                     | Rust               |          4 |          1 |          2 |          7 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\tauri.conf.json                 | JSON               |         39 |          0 |          1 |         40 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\app.css                               | PostCSS            |         83 |          0 |         17 |        100 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\app.html                              | HTML               |         13 |          0 |          1 |         14 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\AlertDialog.svelte                | Svelte             |         77 |          0 |          7 |         84 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\Badge.svelte                      | Svelte             |         63 |          0 |         10 |         73 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\Button.svelte                     | Svelte             |        191 |          0 |         26 |        217 |
