"filename", "language", "JSON", "JSON with Comments", "Markdown", "XML", "JavaScript", "PostCSS", "TypeScript", "HTML", "Svelte", "Rust", "comment", "blank", "total"
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\Skeleton.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 7, 64
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\Swatch.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 21, 121
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\TagSelector.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 211, 0, 0, 24, 235
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\TaskCard.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 252, 0, 0, 42, 294
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\Textbox.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 11, 85
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\TimeWidget.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 9, 87
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\WindowButtons.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 5, 34
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\cal\EventCard.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 20, 124
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\cal\calendar.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\cal\dateCalculations.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 5, 5, 29
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\misc\CustomScrollbar.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 169, 0, 2, 31, 202
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\misc\datePrints.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 3, 16, 92
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\misc\notifications.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 4, 6, 47
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\misc\timeofday.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 9, 41
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\shaders\shader.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 247, 0, 0, 0, 26, 53, 326
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\stores.svelte.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 11, 116
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\theme.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 5, 39
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\types\Study.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\types\task.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 2, 21
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\types\taskStore.svelte.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\types\timerStore.svelte.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 10, 18, 139
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\routes\+layout.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 19, 133
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\routes\+layout.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 1, 6
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\routes\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 139, 0, 1, 23, 163
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\routes\info\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 3, 43
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\routes\settings\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 242, 0, 1, 32, 275
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\routes\study\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 140, 0, 2, 13, 155
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\routes\tasklist\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 335, 0, 3, 44, 382
"c:\Users\yungr\Documents\Misc Projects\NoWork\static\rs_logo.svg", "XML", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\yungr\Documents\Misc Projects\NoWork\svelte.config.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 3, 19
"c:\Users\yungr\Documents\Misc Projects\NoWork\tsconfig.json", "JSON with Comments", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 29
"c:\Users\yungr\Documents\Misc Projects\NoWork\vite.config.js", "JavaScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 6, 5, 33
"Total", "-", 2260, 23, 13, 20, 33, 83, 697, 13, 3691, 869, 121, 855, 8678
