Date : 2026-08-14 16:16:58
Directory : c:\Users\yungr\Documents\Misc Projects\NoWork
Total : 82 files,  8954 codes, 159 comments, 1071 blanks, all 10184 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\commands\types.rs                           | Rust               |         50 |          0 |          6 |         56 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\lib.rs                                      | Rust               |         49 |          2 |          4 |         55 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\main.rs                                     | Rust               |          4 |          1 |          2 |          7 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\tauri.conf.json                                 | JSON               |         39 |          0 |          1 |         40 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\app.css                                               | PostCSS            |         83 |          0 |         17 |        100 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\app.html                                              | HTML               |         13 |          0 |          1 |         14 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\AlertDialog.svelte                                | Svelte             |        109 |          0 |          9 |        118 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\Badge.svelte                                      | Svelte             |         45 |          0 |          5 |         50 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\Button.svelte                                     | Svelte             |        191 |          0 |         26 |        217 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\Card.svelte                                       | Svelte             |         48 |          0 |          8 |         56 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\ColorLine.svelte                                  | Svelte             |         40 |          0 |          9 |         49 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\Countdown.svelte                                  | Svelte             |         88 |          0 |         17 |        105 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\DatePicker.svelte                                 | Svelte             |        251 |          0 |         39 |        290 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\Dropdown.svelte                                   | Svelte             |        226 |          0 |         26 |        252 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\MiniCountdown.svelte                              | Svelte             |         98 |          0 |         11 |        109 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\NumberInput.svelte                                | Svelte             |        197 |          0 |         33 |        230 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\PrioritySelector.svelte                           | Svelte             |         80 |          0 |         10 |         90 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\Sidebar.svelte                                    | Svelte             |        139 |          0 |         14 |        153 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\SidebarButton.svelte                              | Svelte             |         18 |          0 |          5 |         23 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\Skeleton.svelte                                   | Svelte             |         57 |          0 |          7 |         64 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\Swatch.svelte                                     | Svelte             |        100 |          0 |         21 |        121 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\TagSelector.svelte                                | Svelte             |        211 |          0 |         24 |        235 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\TaskCard.svelte                                   | Svelte             |        288 |          3 |         62 |        353 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\Textbox.svelte                                    | Svelte             |         74 |          0 |         11 |         85 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\cal\EventCard.svelte                              | Svelte             |        147 |          0 |         22 |        169 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\cal\calendar.ts                                   | TypeScript         |         41 |         11 |          8 |         60 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\cal\calendarCredentialStorage.ts                  | TypeScript         |         12 |          2 |          1 |         15 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\cal\dateCalculations.ts                           | TypeScript         |         19 |          5 |          5 |         29 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\misc\CustomScrollbar.svelte                       | Svelte             |        161 |          1 |         27 |        189 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\misc\Header.svelte                                | Svelte             |         53 |          0 |          5 |         58 |
