"filename", "language", "JSON", "Markdown", "Rust", "Svelte", "XML", "TypeScript", "comment", "blank", "total"
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\shaders\shader.ts", "TypeScript", 0, 0, 0, 0, 0, -2, 0, 0, -2
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\stores.svelte.ts", "TypeScript", 0, 0, 0, 0, 0, 101, 0, 14, 115
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\types\task.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 6, 28
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\widgets\CalendarWidget.svelte", "Svelte", 0, 0, 0, 222, 0, 0, 1, 40, 263
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\widgets\DynamicBar.svelte", "Svelte", 0, 0, 0, 42, 0, 0, 0, 7, 49
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\widgets\TaskWidget.svelte", "Svelte", 0, 0, 0, 52, 0, 0, 0, 10, 62
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\widgets\TestWidget.svelte", "Svelte", 0, 0, 0, 58, 0, 0, 0, 8, 66
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\widgets\WeatherWidget.svelte", "Svelte", 0, 0, 0, 184, 0, 0, 1, 18, 203
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\routes\+layout.svelte", "Svelte", 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\routes\+page.svelte", "Svelte", 0, 0, 0, 113, 0, 0, 4, 11, 128
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\routes\settings\+page.svelte", "Svelte", 0, 0, 0, 59, 0, 0, 5, 22, 86
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\routes\study\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\routes\tasklist\+page.svelte", "Svelte", 0, 0, 0, 7, 0, 0, 0, 8, 15
"Total", "-", 37, 4, 146, 753, 9, 303, 38, 216, 1506
