"filename", "language", "JSON", "Markdown", "JSON with Comments", "Rust", "JavaScript", "XML", "TypeScript", "Svelte", "HTML", "PostCSS", "comment", "blank", "total"
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\Sidebar.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 14, 153
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\SidebarButton.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 5, 23
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\Skeleton.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 7, 64
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\Swatch.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 21, 121
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\TagSelector.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 211, 0, 0, 0, 24, 235
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\TaskCard.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 288, 0, 0, 3, 62, 353
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\Textbox.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 11, 85
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\cal\EventCard.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 22, 169
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\cal\calendar.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 11, 8, 60
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\cal\calendarCredentialStorage.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 1, 15
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\cal\dateCalculations.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 5, 5, 29
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\misc\CustomScrollbar.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 161, 0, 0, 1, 27, 189
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\misc\Header.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 5, 58
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\misc\Logo.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 2, 38
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\misc\WindowButtons.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 5, 34
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\misc\context.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 3, 8
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\misc\datePrints.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 3, 16, 92
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\misc\notifications.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 4, 6, 47
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\misc\portal.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 2, 14
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\misc\position.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\misc\priority.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\misc\timeofday.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 9, 36
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\misc\weather.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 5, 21, 135
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\shaders\shader.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 245, 0, 0, 0, 26, 53, 324
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\stores.svelte.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 206, 0, 0, 0, 0, 25, 231
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\theme.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 5, 39
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\types\Study.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\types\task.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 8, 49
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\types\taskStore.svelte.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\types\timerStore.svelte.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 10, 18, 139
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\widgets\CalendarWidget.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 222, 0, 0, 1, 40, 263
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\widgets\DynamicBar.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 7, 49
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\widgets\TaskWidget.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 10, 62
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\widgets\TestWidget.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 8, 66
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\widgets\WeatherWidget.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 184, 0, 0, 1, 18, 203
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\routes\+layout.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 20, 145
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\routes\+layout.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 1, 6
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\routes\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 252, 0, 0, 5, 34, 291
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\routes\info\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 3, 43
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\routes\settings\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 301, 0, 0, 6, 54, 361
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\routes\study\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 140, 0, 0, 2, 14, 156
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\routes\tasklist\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 342, 0, 0, 3, 52, 397
"c:\Users\yungr\Documents\Misc Projects\NoWork\static\rs_logo.svg", "XML", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
"c:\Users\yungr\Documents\Misc Projects\NoWork\svelte.config.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 3, 19
"c:\Users\yungr\Documents\Misc Projects\NoWork\tsconfig.json", "JSON with Comments", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 5, 1, 29
"c:\Users\yungr\Documents\Misc Projects\NoWork\vite.config.js", "JavaScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 6, 5, 33
"Total", "-", 2297, 17, 23, 1015, 33, 29, 1000, 4444, 13, 83, 159, 1071, 10184
